,y1_countyname,y1_state,y2_countyname,y2_state,n2_outflow,agi_perThou_outflow,agi_outflow,yr_range,year1,year2,mig_direction2,unique_tag,secondary_county
377959,Gwinnett County,GA,Los Angeles County,CA,295,7686,7686000,1920,2019,2020,outflow,Gwinnett County-Los Angeles County-CA-1920,"Los Angeles County, CA"
377960,Gwinnett County,GA,Harris County,TX,336,7614,7614000,1920,2019,2020,outflow,Gwinnett County-Harris County-TX-1920,"Harris County, TX"
377961,Gwinnett County,GA,Douglas County,GA,355,7073,7073000,1920,2019,2020,outflow,Gwinnett County-Douglas County-GA-1920,"Douglas County, GA"
377962,Gwinnett County,GA,Miami-Dade County,FL,297,7344,7344000,1920,2019,2020,outflow,Gwinnett County-Miami-Dade County-FL-1920,"Miami-Dade County, FL"
377963,Gwinnett County,GA,Mecklenburg County,NC,267,9963,9963000,1920,2019,2020,outflow,Gwinnett County-Mecklenburg County-NC-1920,"Mecklenburg County, NC"
377964,Gwinnett County,GA,Orange County,FL,269,7153,7153000,1920,2019,2020,outflow,Gwinnett County-Orange County-FL-1920,"Orange County, FL"
377965,Gwinnett County,GA,Hillsborough County,FL,278,16740,16740000,1920,2019,2020,outflow,Gwinnett County-Hillsborough County-FL-1920,"Hillsborough County, FL"
377966,Gwinnett County,GA,Chatham County,GA,254,7309,7309000,1920,2019,2020,outflow,Gwinnett County-Chatham County-GA-1920,"Chatham County, GA"
377967,Gwinnett County,GA,Paulding County,GA,296,6415,6415000,1920,2019,2020,outflow,Gwinnett County-Paulding County-GA-1920,"Paulding County, GA"
377968,Gwinnett County,GA,Broward County,FL,253,10145,10145000,1920,2019,2020,outflow,Gwinnett County-Broward County-FL-1920,"Broward County, FL"
377969,Gwinnett County,GA,Cook County,IL,214,6509,6509000,1920,2019,2020,outflow,Gwinnett County-Cook County-IL-1920,"Cook County, IL"
377970,Gwinnett County,GA,Maricopa County,AZ,214,5673,5673000,1920,2019,2020,outflow,Gwinnett County-Maricopa County-AZ-1920,"Maricopa County, AZ"
377971,Gwinnett County,GA,Duval County,FL,173,5381,5381000,1920,2019,2020,outflow,Gwinnett County-Duval County-FL-1920,"Duval County, FL"
377972,Gwinnett County,GA,Dallas County,TX,163,6726,6726000,1920,2019,2020,outflow,Gwinnett County-Dallas County-TX-1920,"Dallas County, TX"
377973,Gwinnett County,GA,Oconee County,GA,320,14380,14380000,1920,2019,2020,outflow,Gwinnett County-Oconee County-GA-1920,"Oconee County, GA"
377974,Gwinnett County,GA,Coweta County,GA,207,6024,6024000,1920,2019,2020,outflow,Gwinnett County-Coweta County-GA-1920,"Coweta County, GA"
377975,Gwinnett County,GA,Wake County,NC,227,6156,6156000,1920,2019,2020,outflow,Gwinnett County-Wake County-NC-1920,"Wake County, NC"
377976,Gwinnett County,GA,Palm Beach County,FL,196,14009,14009000,1920,2019,2020,outflow,Gwinnett County-Palm Beach County-FL-1920,"Palm Beach County, FL"
377977,Gwinnett County,GA,Pinellas County,FL,154,5899,5899000,1920,2019,2020,outflow,Gwinnett County-Pinellas County-FL-1920,"Pinellas County, FL"
377978,Gwinnett County,GA,Greenville County,SC,177,6777,6777000,1920,2019,2020,outflow,Gwinnett County-Greenville County-SC-1920,"Greenville County, SC"
377979,Gwinnett County,GA,Tarrant County,TX,183,5390,5390000,1920,2019,2020,outflow,Gwinnett County-Tarrant County-TX-1920,"Tarrant County, TX"
377980,Gwinnett County,GA,Davidson County,TN,123,3844,3844000,1920,2019,2020,outflow,Gwinnett County-Davidson County-TN-1920,"Davidson County, TN"
377981,Gwinnett County,GA,Clark County,NV,185,3380,3380000,1920,2019,2020,outflow,Gwinnett County-Clark County-NV-1920,"Clark County, NV"
377982,Gwinnett County,GA,Habersham County,GA,176,6387,6387000,1920,2019,2020,outflow,Gwinnett County-Habersham County-GA-1920,"Habersham County, GA"
377983,Gwinnett County,GA,Kings County,NY,131,3624,3624000,1920,2019,2020,outflow,Gwinnett County-Kings County-NY-1920,"Kings County, NY"
377984,Gwinnett County,GA,King County,WA,123,7668,7668000,1920,2019,2020,outflow,Gwinnett County-King County-WA-1920,"King County, WA"
377985,Gwinnett County,GA,Dawson County,GA,160,5776,5776000,1920,2019,2020,outflow,Gwinnett County-Dawson County-GA-1920,"Dawson County, GA"
377986,Gwinnett County,GA,Richmond County,GA,127,2689,2689000,1920,2019,2020,outflow,Gwinnett County-Richmond County-GA-1920,"Richmond County, GA"
377987,Gwinnett County,GA,Queens County,NY,118,2739,2739000,1920,2019,2020,outflow,Gwinnett County-Queens County-NY-1920,"Queens County, NY"
377988,Gwinnett County,GA,Fayette County,GA,154,4227,4227000,1920,2019,2020,outflow,Gwinnett County-Fayette County-GA-1920,"Fayette County, GA"
377989,Gwinnett County,GA,Houston County,GA,147,2727,2727000,1920,2019,2020,outflow,Gwinnett County-Houston County-GA-1920,"Houston County, GA"
377990,Gwinnett County,GA,San Diego County,CA,114,3455,3455000,1920,2019,2020,outflow,Gwinnett County-San Diego County-CA-1920,"San Diego County, CA"
377991,Gwinnett County,GA,Shelby County,TN,153,4716,4716000,1920,2019,2020,outflow,Gwinnett County-Shelby County-TN-1920,"Shelby County, TN"
377992,Gwinnett County,GA,Bibb County,GA,116,3497,3497000,1920,2019,2020,outflow,Gwinnett County-Bibb County-GA-1920,"Bibb County, GA"
377993,Gwinnett County,GA,Columbia County,GA,167,3240,3240000,1920,2019,2020,outflow,Gwinnett County-Columbia County-GA-1920,"Columbia County, GA"
